831,829,"Amor, ingenio y mujer","AMOR, INGENIO, Y MVGER.",DEL DOCTOR MIRA DE MESCVA.,Biblioteca Nacional de España,T/55274/33,BNE_829_831_T-55274-33,,,
51,56,Amparar su propio agravio,AMPARAR SV PROPRIO AGRAVIO.,DE DON PABLO DE LAZA.,Biblioteca Nacional de España,T/55297/11,BNE_56_51_T-55297-11,Pedro Gómez de Pastrana,1632-1638,1625-1649
567,1002,Antes que te cases mira lo que haces y examen de maridos,EL EXAMEN DE MARIDOS.,DEL DOCTOR IVAN PEREZ DE MONTALBAN.,Biblioteca Nacional de España,T/55281/13,BNE_1002_567_T-55281-13,,,
461,507,Antídotos de la gracia contra infernales venenos María santísima de la Novena,"ANTIDOTOS DE LA GRACIA, CONTRA INFERNALES VENENOS, MARIA SANTISSIMA DE LA NOVENA.","«POR DON FRANCISCO ANTONIO de Ripòll Fernandez de Urueña, Ponce de Leon.»",Biblioteca Nacional de España,T/4445,BNE_507_461_T-4445,Gabriel Ramírez,1748,1737-1770
730,1013,Antona García,ANTONA GARCIA.,«Del Maestro Tirso de Molina. »,Biblioteca Nacional de España,T/55286/24,BNE_1013_730_T-55286-24,,,
261,265,Añasco el de Talavera,AÑASCO EL DE TALAVERA.,DE ALVARO CVBILLO.,Biblioteca Nacional de España,​T/55312/31,BNE_265_261_​T-55312-31,,,
261,844,Añasco el de Talavera,AÑASCO EL DE TALAVERA.,DE ALVARO CVBILLO.,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.514.2,BNUE_844_261_CD-122-514-2,Nicolás Rodríguez de Ábrego,1639-1648,1637-1670
927,1980,"Apelar de un hado a otro
",APELAR DE VN HADO A OTRO.,«DE DON AMBROSIO DE CVENCA / y Arguello.»,Biblioteca Nacional de España,	T/55694,BNE_1985_927_T-55690,,,
815,886,Apolo y Climene,"APOLO, Y CLIMENE.",«DE DON PEDRO CALDERON de la Barca.»,Biblioteca Nacional de España,R/11348/10,BNE_886_815_R-11348-10,,,
816,1049,Argenis y Poliarco,"ARGENIS, Y POLIARCO.",«DE DON PEDRO CALDERON DE LA BARCA.»,Biblioteca Nacional de España,R/11346,BNE_1049_816_R-11346,,,
580,811,Aun de noche alumbra el sol,AUN DE NOCHE ALUMBRA EL SOL.,DEL DOCTOR DON FELIPE GODINEZ.,Biblioteca Nacional de España,T/20591,BNE_811_580_T-20591,Joseph y Tomás Orga,1777,1738-1809
857,878,Auristela y Lisidante,AURISTELA Y LISIDANTE.,«DE DON PEDRO CALDERON DE LA BARCA.»,Biblioteca Nacional de España,T/55308/24,BNE_878_857_T-55308-24,,,
77,76,Ayudar con los estorbos,AYUDAR CON LOS ESTORBOS.,Del Doctor D. Geronimo Torres de las Cuebas.,Biblioteca Nacional de España,T/ 55292/28,BNE_76_77_T-55292-28,Simón Fajardo,1630-1640,1622-1650
795,758,Bernardo del Carpio,BERNARDO DEL CARPIO EN FRANCIA.,«DE DON LOPE DE LLANO.»,Biblioteca Nacional de España,T/55297/7,BNE_758_795_T-55297-7,,,
795,759,Bernardo del Carpio,BERNARDO DE EL CARPIO EN FRANCIA.,«DE DON LOPE DE LLANOS.»,Biblioteca Nacional de España,T/55297/8,BNE_759_795_T-55297-8,,,
795,867,Bernardo del Carpio,BERNARDO DEL CARPIO EN FRANCIA.,DE DON LOPE LIAÑO.,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.514.6,BNUE_867_795_CD-122-514-6,Nicolás Rodríguez de Ábrego,1639-1648,1637-1670
366,541,Cada cual a su negocio,CADA QVAL A SV NEGOCIO.,DE DON GERONIMO DE CVELLAR.,Biblioteca Nacional de España,T/55293/9,BNE_541_366_T-55293-9,,,
366,894,Cada cual a su negocio,CADA QVAL A SV NEGOCIO.,DE DON GERONIMO DE CVELLAR.,Biblioteca Nacional de España,T/55293/10,BNE_894_366_T-55293-10,,,
882,972,Cada uno con su igual,CADA VNO CON SV IGVAL.,DE BLAS DE MESSA.,Biblioteca Nacional de España,T/55303/32,BNE_972_882_T-55303-32,,,
519,922,Caer para levantar,CAER PARA LEVANTAR.,"DE DON IVAN DE MATOS FRAGOSO, / Don Geronimo Cancer, y Don Agustin Moreto.",Biblioteca Nacional de España,T/55279/10,BNE_922_519_T-55279-10,,,
858,881,Casa con dos puertas mala es de guardar,CASA CON DOS PUERTAS MALA ES DE GUARDAR.,«DE DON PEDRO CALDERON DE LA BARCA.»,Biblioteca Nacional de España,T/55309/26,BNE_881_858_T-55309-26,,,
896,1015,Casarse por vengarse,CASARSE POR VENGARSE.,«DE DON FRANCISCO DE ROXAS.»,Biblioteca Nacional de España,T/55345/14,BNE_1015_896_T-55345-14,,,
826,822,Céfalo y Pocris,"CEFALO, Y POCRIS.",«DE D. PEDRO CALDERON DE LA BARCA.»,Biblioteca Nacional de España,R/11353/9,BNE_822_826_R-11353-9,Lucas Antonio de Bedmar,c. 1701,1666-1723
429,484,Celos no ofenden al Sol,ZELOS NO OFENDEN AL SOL.,«DE DON PEDRO CALDERON.»,Biblioteca Nacional de España,T/55306/21,BNE_484_429_T-55306-21,,,
429,485,Celos no ofenden al Sol,ZELOS NO OFENDEN AL SOL:,"«DE DON PEDRO CALDERON,»",Biblioteca Nacional de España,T/55308/14,BNE_485_429_T-55308-14,,,
477,539,"Celos, honor y cordura","ZELOS,HONOR,Y CORDVRA.",DE DON ANTONIO COELLO.,Biblioteca Nacional de España,T/55321/30,BNE_539_477_T-55321-30,Pedro Gómez de Pastrana,1632-1638,1625-1649
797,1036,Cerco de Túnez y gana de la Goleta por el emperador Carlos V,"CERCO DE TÚNEZ, Y GANADA de la Goleta por el Emperador Carlos V.",,Biblioteca Nacional de España,T/55330/26,BNE_1036_797_T-55330-26,,,
569,1020,Chico Baturi,"CHICO BATVRI,","«DE TRES INGENIOS. DE DON ANTONIO DE / Huerta, Don Geronimo Cancer,y Don Pedro Ro$sete.»",Biblioteca Nacional de España,T/55346/18,BNE_1020_569_T-55346-18,,,
569,1022,Chico Baturi,CHICO BATVRI,"ANTONIO DE HVERTA, D. GERONIMO CANCER, Y D. PEDRO ROSETE.",Biblioteca Nacional de España,T/55346/21,BNE_1022_569_T-55346-21,,,
